outputs saved → /root/JetSpec/bench/outputs/20260628_222553_Qwen3-8B/

model=Qwen/Qwen3-8B head=JetSpec/jetspec-qwen3-8b
dataset=gsm8k samples=32 world_size=1 block_size=16 tree_depth=16 width=4 budget=16 max_new=1024
attn_implementation=sdpa torch_compile=False fused_moe_blocks=0 tree_attn_implementation=triton draft_attn=sdpa
AR-greedy baseline: decode=75.0 tok/s/gpu  e2e=74.0 tok/s/gpu  (10000 tok, avg_decode_ms=4167.8, avg_wall_ms=4224.2)

DFlash blocksize=16: decode=268.9 tok/s/gpu  e2e=265.7 tok/s/gpu  (10236 tok, accept_len=5.83, speedup=3.59  e2e_speedup=3.59)

algorithm              accept_len     d0     d1     d2     d3   tree decode_tps  e2e_tps  speedup e2e_spdup
-----------------------------------------------------------------------------------------------------------
accum_logp                   4.30   0.99   0.90   0.77   0.63     16      227.5    224.8     3.03      3.04

accept_len = tokens/forward (= reference Average Acceptance length).
d_k = per-position accept rate.
decode_tps = latency-derived from decode-only time (prefill excluded).
e2e_tps = latency-derived from total wall time (prefill included).
speedup = decode_tps / AR decode_tps.
e2e_spdup = e2e_tps / AR e2e_tps.

===STDERR(tail)===
DFlash blocksize=16:  91%|█████████ | 29/32 [00:36<00:02,  1.18it/s]
DFlash blocksize=16:  94%|█████████▍| 30/32 [00:36<00:01,  1.17it/s]
DFlash blocksize=16:  97%|█████████▋| 31/32 [00:37<00:00,  1.21it/s]
DFlash blocksize=16: 100%|██████████| 32/32 [00:38<00:00,  1.19it/s]
DFlash blocksize=16: 100%|██████████| 32/32 [00:38<00:00,  1.20s/it]

accum_logp tree decode:   0%|          | 0/32 [00:00<?, ?it/s]
accum_logp tree decode:   3%|▎         | 1/32 [00:01<00:46,  1.49s/it]
accum_logp tree decode:   6%|▋         | 2/32 [00:02<00:29,  1.01it/s]
accum_logp tree decode:   9%|▉         | 3/32 [00:03<00:37,  1.28s/it]
accum_logp tree decode:  12%|█▎        | 4/32 [00:04<00:30,  1.09s/it]
accum_logp tree decode:  16%|█▌        | 5/32 [00:06<00:34,  1.26s/it]
accum_logp tree decode:  19%|█▉        | 6/32 [00:07<00:33,  1.30s/it]
accum_logp tree decode:  22%|██▏       | 7/32 [00:08<00:32,  1.28s/it]
accum_logp tree decode:  25%|██▌       | 8/32 [00:10<00:36,  1.52s/it]
accum_logp tree decode:  28%|██▊       | 9/32 [00:13<00:47,  2.05s/it]
accum_logp tree decode:  31%|███▏      | 10/32 [00:15<00:42,  1.92s/it]
accum_logp tree decode:  34%|███▍      | 11/32 [00:16<00:34,  1.62s/it]
accum_logp tree decode:  38%|███▊      | 12/32 [00:17<00:30,  1.51s/it]
accum_logp tree decode:  41%|████      | 13/32 [00:19<00:29,  1.54s/it]
accum_logp tree decode:  44%|████▍     | 14/32 [00:21<00:30,  1.69s/it]
accum_logp tree decode:  47%|████▋     | 15/32 [00:22<00:27,  1.62s/it]
accum_logp tree decode:  50%|█████     | 16/32 [00:24<00:26,  1.65s/it]
accum_logp tree decode:  53%|█████▎    | 17/32 [00:25<00:21,  1.42s/it]
accum_logp tree decode:  56%|█████▋    | 18/32 [00:26<00:18,  1.35s/it]
accum_logp tree decode:  59%|█████▉    | 19/32 [00:27<00:16,  1.26s/it]
accum_logp tree decode:  62%|██████▎   | 20/32 [00:29<00:18,  1.51s/it]
accum_logp tree decode:  66%|██████▌   | 21/32 [00:32<00:18,  1.70s/it]
accum_logp tree decode:  69%|██████▉   | 22/32 [00:32<00:14,  1.40s/it]
accum_logp tree decode:  72%|███████▏  | 23/32 [00:33<00:11,  1.31s/it]
accum_logp tree decode:  75%|███████▌  | 24/32 [00:34<00:09,  1.21s/it]
accum_logp tree decode:  78%|███████▊  | 25/32 [00:35<00:07,  1.11s/it]
accum_logp tree decode:  81%|████████▏ | 26/32 [00:37<00:07,  1.19s/it]
accum_logp tree decode:  84%|████████▍ | 27/32 [00:38<00:06,  1.25s/it]
accum_logp tree decode:  88%|████████▊ | 28/32 [00:39<00:04,  1.18s/it]
accum_logp tree decode:  91%|█████████ | 29/32 [00:40<00:03,  1.20s/it]
accum_logp tree decode:  94%|█████████▍| 30/32 [00:41<00:02,  1.21s/it]
accum_logp tree decode:  97%|█████████▋| 31/32 [00:43<00:01,  1.19s/it]
accum_logp tree decode: 100%|██████████| 32/32 [00:44<00:00,  1.26s/it]
accum_logp tree decode: 100%|██████████| 32/32 [00:44<00:00,  1.39s/it]
